Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  02:11:00,22.6,27.98529560309265 
 05/15  02:12:00,22.6,27.965303948016082 
 05/15  02:13:00,22.6,27.94531322106222 
 05/15  02:14:00,22.6,27.925327995593573 
 05/15  02:15:00,22.5,27.90533945155211 
 05/15  02:16:00,22.5,27.885353320594756 
 05/15  02:17:00,22.5,27.86537381241397 
 05/15  02:18:00,22.5,27.845401876821587 
 05/15  02:19:00,22.5,27.825426753795607 
 05/15  02:20:00,22.5,27.805453664563807 
 05/15  02:21:00,22.4,27.78548680570561 
 05/15  02:22:00,22.4,27.765527176099148 
 05/15  02:23:00,22.4,27.74556410963209 
 05/15  02:24:00,22.4,27.725603067364858 
 05/15  02:25:00,22.4,27.705648599730786 
 05/15  02:26:00,22.3,27.685691954392748 
 05/15  02:27:00,22.3,27.66573896428666 
 05/15  02:28:00,22.3,27.645793963375247 
 05/15  02:29:00,22.3,27.625858028667896 
 05/15  02:30:00,22.3,27.605920531719118 
 05/15  02:31:00,22.3,27.585986774624825 
 05/15  02:32:00,22.2,27.566061011839206 
 05/15  02:33:00,22.2,27.54614428052897 
 05/15  02:34:00,22.2,27.526225954446097 
 05/15  02:35:00,22.2,27.50631147672838 
 05/15  02:36:00,22.2,27.486405364585334 
 05/15  02:37:00,22.2,27.466508915340146 
 05/15  02:38:00,22.1,27.446611648690357 
 05/15  02:39:00,22.1,27.426719021778727 
 05/15  02:40:00,22.1,27.40683556101356 
 05/15  02:41:00,22.1,27.386962672224755 
 05/15  02:42:00,22.1,27.367090073465118 
 05/15  02:43:00,22.1,27.34722336808317 
 05/15  02:44:00,22.0,27.327367091995466 
 05/15  02:45:00,22.0,27.30752253867455 
 05/15  02:46:00,22.0,27.287689404880844 
 05/15  02:47:00,22.0,27.267857026351212 
 05/15  02:48:00,22.0,27.24803119606397 
 05/15  02:49:00,22.0,27.228216705795656 
 05/15  02:50:00,21.9,27.20841498204147 
 05/15  02:51:00,21.9,27.188625711229964 
 05/15  02:52:00,21.9,27.168838160646263 
 05/15  02:53:00,21.9,27.149058069927996 
 05/15  02:54:00,21.9,27.129290243961975 
 05/15  02:55:00,21.9,27.109536148144127 
 05/15  02:56:00,21.8,27.089795462740124 
 05/15  02:57:00,21.8,27.070057389608184 
 05/15  02:58:00,21.8,27.050327536155304 
 05/15  02:59:00,21.8,27.030610623033883 
 05/15  03:00:00,21.8,27.010908111515576 
 05/15  03:01:00,21.8,26.99121970999196 
 05/15  03:02:00,21.8,26.971544680969586 
 05/15  03:03:00,21.7,26.951882391648056 
 05/15  03:04:00,21.7,26.93222238626159 
 05/15  03:05:00,21.7,26.91257071483492 
