Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  01:55:00,22.9,29.917342380602122 
 05/15  01:56:00,22.9,29.900798365835044 
 05/15  01:57:00,22.9,29.88424112922873 
 05/15  01:58:00,22.9,29.867669338028406 
 05/15  01:59:00,22.8,29.85108364219812 
 05/15  02:00:00,22.8,29.834495258353893 
 05/15  02:01:00,22.8,29.817898563742283 
 05/15  02:02:00,22.8,29.801288665750143 
 05/15  02:03:00,22.8,29.78466422427013 
 05/15  02:04:00,22.8,29.76802589084323 
 05/15  02:05:00,22.7,29.751374782385206 
 05/15  02:06:00,22.7,29.73471182661864 
 05/15  02:07:00,22.7,29.718047752831865 
 05/15  02:08:00,22.7,29.701376453711095 
 05/15  02:09:00,22.7,29.684692717804616 
 05/15  02:10:00,22.6,29.667995019904787 
 05/15  02:11:00,22.6,29.651283902605723 
 05/15  02:12:00,22.6,29.634560415028968 
 05/15  02:13:00,22.6,29.61782544373416 
 05/15  02:14:00,22.6,29.601079604780622 
 05/15  02:15:00,22.5,29.58432332034567 
 05/15  02:16:00,22.5,29.567567000705097 
 05/15  02:17:00,22.5,29.550804360703864 
 05/15  02:18:00,22.5,29.53403009665608 
 05/15  02:19:00,22.5,29.517242636476134 
 05/15  02:20:00,22.5,29.50044250087474 
 05/15  02:21:00,22.4,29.4836307325397 
 05/15  02:22:00,22.4,29.466808221407163 
 05/15  02:23:00,22.4,29.449975592198 
 05/15  02:24:00,22.4,29.433133277281843 
 05/15  02:25:00,22.4,29.416281597003486 
 05/15  02:26:00,22.3,29.399420806586658 
 05/15  02:27:00,22.3,29.38255111818224 
 05/15  02:28:00,22.3,29.365672711775357 
 05/15  02:29:00,22.3,29.34878574241787 
 05/15  02:30:00,22.3,29.331890346246634 
 05/15  02:31:00,22.3,29.314986645611157 
 05/15  02:32:00,22.2,29.29807475309227 
 05/15  02:33:00,22.2,29.281154774277184 
 05/15  02:34:00,22.2,29.264226809462325 
 05/15  02:35:00,22.2,29.247290954752845 
 05/15  02:36:00,22.2,29.230347303096636 
 05/15  02:37:00,22.2,29.213395945533804 
 05/15  02:38:00,22.1,29.19643697255146 
 05/15  02:39:00,22.1,29.17947047523969 
 05/15  02:40:00,22.1,29.162496546078582 
 05/15  02:41:00,22.1,29.14551527948382 
 05/15  02:42:00,22.1,29.128526772398537 
 05/15  02:43:00,22.1,29.111531125068293 
 05/15  02:44:00,22.0,29.094528441829326 
 05/15  02:45:00,22.0,29.07751883160041 
 05/15  02:46:00,22.0,29.06050240793207 
 05/15  02:47:00,22.0,29.043479288776076 
 05/15  02:48:00,22.0,29.026449596299692 
 05/15  02:49:00,22.0,29.009413456913524 
 05/15  02:50:00,21.9,28.992371001368205 
 05/15  02:51:00,21.9,28.97532236462745 
 05/15  02:52:00,21.9,28.95826768538148 
 05/15  02:53:00,21.9,28.941207105367678 
 05/15  02:54:00,21.9,28.924140768822234 
 05/15  02:55:00,21.9,28.90706882222751 
 05/15  02:56:00,21.8,28.889991414203966 
 05/15  02:57:00,21.8,28.8729086952467 
 05/15  02:58:00,21.8,28.85582081716195 
 05/15  02:59:00,21.8,28.838727932361902 
 05/15  03:00:00,21.8,28.821630193332933 
 05/15  03:01:00,21.8,28.804527752434364 
 05/15  03:02:00,21.8,28.78742076186943 
 05/15  03:03:00,21.7,28.770309373522394 
 05/15  03:04:00,21.7,28.75319373851281 
 05/15  03:05:00,21.7,28.736074006639058 
 05/15  03:06:00,21.7,28.71895032611964 
